numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;3;0.83%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.28%
3; RAJOELINA Andry Nirina;TGV;295;81.72%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;27;7.48%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;4;1.11%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;3;0.83%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;1.11%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;0.55%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;22;6.09%
