numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;2;3.28%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;3.28%
3; RAJOELINA Andry Nirina;TGV;20;32.79%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;16;26.23%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;1.64%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;1.64%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;1.64%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;1.64%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;27.87%
