numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;4;1.30%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3; RAJOELINA Andry Nirina;TGV;231;75.24%
4; RATSIRAKA Iarovana Roland;MTS;1;0.33%
5; RAVALOMANANA Marc;TIM;24;7.82%
6; PARAINA Auguste Richard;TT;1;0.33%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.33%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.33%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.33%
11; RADERANIRINA Sendrison Daniela;Fy-M;17;5.54%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;26;8.47%
