numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;1.72%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;1.72%
3; RAJOELINA Andry Nirina;TGV;21;36.21%
4; RATSIRAKA Iarovana Roland;MTS;1;1.72%
5; RAVALOMANANA Marc;TIM;20;34.48%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;5.17%
11; RADERANIRINA Sendrison Daniela;Fy-M;1;1.72%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;10;17.24%
