numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;7;3.38%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3;RAJOELINA Andry Nirina;TGV;140;67.63%
4;RATSIRAKA Iarovana Roland;MTS;1;0.48%
5;RAVALOMANANA Marc;TIM;35;16.91%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.48%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;0.97%
11;RADERANIRINA Sendrison Daniela;Fy-M;5;2.42%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;2;0.97%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;14;6.76%
