numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;3;1.74%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3;RAJOELINA Andry Nirina;TGV;138;80.23%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;13;7.56%
6;PARAINA Auguste Richard;TT;1;0.58%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.58%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.58%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;1.16%
11;RADERANIRINA Sendrison Daniela;Fy-M;3;1.74%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;10;5.81%
