numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;5;4.24%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.85%
3;RAJOELINA Andry Nirina;TGV;19;16.10%
4;RATSIRAKA Iarovana Roland;MTS;2;1.69%
5;RAVALOMANANA Marc;TIM;72;61.02%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.85%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;1.69%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;1.69%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;4.24%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;9;7.63%
