numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;0.77%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;3;2.31%
3;RAJOELINA Andry Nirina;TGV;83;63.85%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;22;16.92%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;3;2.31%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;1.54%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;1.54%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;1.54%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;12;9.23%
