numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;0;0%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;1.89%
3; RAJOELINA Andry Nirina;TGV;38;35.85%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;47;44.34%
6; PARAINA Auguste Richard;TT;1;0.94%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.94%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.94%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;0;0%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;16;15.09%
